,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
287,0.01241304987874517,0.03307539373977833,0.012172182005481324,0.011380139767116111,0.010878223130182276,0.0063197538415827115,0.01114419833961574,0.00047627579503405873
288,0.01254752619320489,0.02994562952198306,0.014680514408337854,0.012286548937258897,0.01170460720622335,0.0073548750535792195,0.012498186978143025,0.00039996257125583356
289,0.013046166630385422,0.02754236050586034,0.018122221322839163,0.01329828092131175,0.01256353764139292,0.008804162670583406,0.013950443348128968,0.0011862719182108095
290,0.013852586490093468,0.025843612333966863,0.02225545123994221,0.014367620855071185,0.013408901895834735,0.010652300045167474,0.015443501401148476,0.0030481530637008706
291,0.01488304805806181,0.024776612102470168,0.026763007774171926,0.015438937894988344,0.01419387926430347,0.01286038657004865,0.016912269521679325,0.006164231601313074
292,0.016034028965773963,0.024231466471887744,0.03127878639872376,0.016452125811909264,0.014875689370827625,0.015367021146480808,0.018290007155140828,0.01065720926626232
293,0.01719240330103319,0.02407715776901342,0.03542195751617707,0.017346932331950067,0.015420251353919796,0.018091685419548937,0.019515647228857545,0.016574419221464062
294,0.018247579429694162,0.02417816939102804,0.038836731208159815,0.018068022341524683,0.01580627548151686,0.020940476758984736,0.020541885472294623,0.02387311017313125
295,0.019104610512417297,0.02440998476233533,0.041234652543099916,0.018570582880911707,0.01602833179114355,0.023813896642126228,0.02134318337084316,0.03241283727570843
296,0.01969698512158239,0.024671827017350552,0.04243561287030354,0.01882624058288079,0.016098532105839256,0.026616013992181553,0.0219225983277715,0.04195677539784623
297,0.019997586267940494,0.024895358969068523,0.0424032646462738,0.018828994480321482,0.016046604993380037,0.029263966995051908,0.022316223935470055,0.05218286434031935
298,0.020026259552680097,0.02504862292808961,0.041270418267429956,0.018600744082512416,0.015918298602887928,0.031696519519500005,0.02259405972194529,0.06270452890731282
299,0.019852621081037032,0.02513516460114342,0.0393503565429953,0.018195816069617208,0.015772179781749433,0.03388032074739073,0.022856386962530093,0.0730994305628182
