,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
662,0.006223003841810258,0.014571496152460561,0.042958804578404335,0.014423204272842684,0.02097660585308166,0.05024065088344686,0.022056940356798546,0.007486904648618713
663,0.006047101399328608,0.012417773529283777,0.04414569724909944,0.015218765872923324,0.023304806151861465,0.0535062040809045,0.022927871915599477,0.006865033966811875
664,0.005959444915923858,0.010587356998148651,0.044592546921683275,0.016368186542636862,0.026128845370474857,0.05633613046329098,0.023649213508910867,0.006273529800667747
665,0.005976686999575949,0.009207406856408855,0.04427803759755276,0.017952536288084745,0.029428138031277175,0.05869266197729559,0.024237454770487096,0.00575347474817908
666,0.006112982059488559,0.008371938821760459,0.043258992584573094,0.02003013441680937,0.03314745854954987,0.060550090806086955,0.02471426390177571,0.005346218706806233
667,0.006378250278338205,0.00813253325447084,0.041682391043503145,0.022625504362298505,0.037197978363086935,0.06188850462533596,0.02510131404364176,0.0050890416114679855
668,0.006776421802728868,0.00849259300418339,0.03979022843980379,0.025720308044494163,0.04146089079339623,0.06268899303628186,0.02541554595061067,0.0050107016330202085
669,0.007303913274009802,0.009405798044227818,0.037914949722492805,0.029247726996622238,0.04579319583554016,0.0629316159407482,0.025665697774408424,0.005127449592383363
670,0.007948633123010633,0.010779088646159453,0.03646412177915009,0.033091512203687896,0.05003498809491572,0.0625967095962879,0.025850615925500982,0.005440073492795547
671,0.008689798984848385,0.012480168345050455,0.035894339082026334,0.037090495573367355,0.054017534133286436,0.061669359229722005,0.02595948102968504,0.005932444407972694
672,0.009498775821615112,0.014349164386571332,0.036675821049314786,0.04104881525781644,0.0575715673641674,0.06014625631790086,0.025973747072511974,0.006571881724163558
673,0.01034101748118377,0.016213729072474488,0.03925047613453946,0.04475152033466768,0.06053551505069886,0.05804378636802307,0.025870380252980024,0.007311461126746223
674,0.011179037714324392,0.01790652588278662,0.04398718192105228,0.047984629921000395,0.0627636893381191,0.05540607704894194,0.025625918161801656,0.008094173842046628
675,0.011976172714958206,0.019283736862709327,0.05113860353598146,0.050558152553045764,0.06413469288644132,0.052311819221119264,0.02522090543865234,0.008858628821856313
676,0.012700750768884208,0.02024297194854854,0.0608040652893088,0.052330044058340325,0.06456030009712324,0.04887886453650318,0.02464432498520952,0.009545784105079393
677,0.013330180216215527,0.020738782395835174,0.07290281881071298,0.053228623852243674,0.0639948164322933,0.045265822878381316,0.023897678791035167,0.01010601378835398
